title,author,length
Hidden Potential,Adam Grant,Length: 7 hrs and 21 mins
Be Useful,Arnold Schwarzenegger,Length: 6 hrs and 19 mins
Determined,Robert M. Sapolsky,Length: 16 hrs and 39 mins
Clear Thinking,Shane Parrish,Length: 6 hrs and 41 mins
The Secret,"Lee Child,Andrew Child",Length: 8 hrs and 18 mins
The Ashes and the Star-Cursed King,Carissa Broadbent,Length: 18 hrs and 55 mins
Gita,Pranay,Length: 4 hrs and 40 mins
The Power of Your Subconscious Mind (Marathi Edition),Joseph Murphy,Length: 9 hrs and 40 mins
Vivekanand [Vivekananda],Rajendra Mohan Bhatnagar,Length: 12 hrs and 50 mins
"The Sandman, Act I (Hindi Edition)","Neil Gaiman,Dirk Maggs",Length: 11 hrs and 3 mins
No Brainer,Jeff Kinney,Length: 2 hrs and 26 mins
The Psychology of Money (Marathi Edition),Morgan Housel,Length: 8 hrs and 50 mins
Chanakya Aur Chandragupt [Chanakya and Chandragupta],Rajender Pandya,Length: 6 hrs
Nightshade Revenge,Anthony Horowitz,Length: 8 hrs and 27 mins
What Do You Care What Other People Think?,"Richard P. Feynman,Ralph Leighton",Length: 6 hrs and 12 mins
"Think Faster, Talk Smarter",Matt Abrahams,Length: 7 hrs and 11 mins
The Rozabal Line (Hindi Edition),Ashwin Sanghi,Length: 12 hrs and 28 mins
Sahaj Yog,OSHO,Length: 37 hrs and 10 mins
Babylon Ka Sabse Ameer Aadami [The Richest Man in Babylon],George S. Clason,Length: 4 hrs and 46 mins
The Art of Thinking Clearly (Marathi Edition),Rolf Dobelli,Length: 14 hrs and 26 mins
