title,author,length
Hidden Potential,Adam Grant,Length: 7 hrs and 21 mins
Be Useful,Arnold Schwarzenegger,Length: 6 hrs and 19 mins
Determined,Robert M. Sapolsky,Length: 16 hrs and 39 mins
Clear Thinking,Shane Parrish,Length: 6 hrs and 41 mins
The Secret,"Lee Child,Andrew Child",Length: 8 hrs and 18 mins
The Ashes and the Star-Cursed King,Carissa Broadbent,Length: 18 hrs and 55 mins
Gita,Pranay,Length: 4 hrs and 40 mins
The Power of Your Subconscious Mind (Marathi Edition),Joseph Murphy,Length: 9 hrs and 40 mins
Vivekanand [Vivekananda],Rajendra Mohan Bhatnagar,Length: 12 hrs and 50 mins
"The Sandman, Act I (Hindi Edition)","Neil Gaiman,Dirk Maggs",Length: 11 hrs and 3 mins
No Brainer,Jeff Kinney,Length: 2 hrs and 26 mins
The Psychology of Money (Marathi Edition),Morgan Housel,Length: 8 hrs and 50 mins
Chanakya Aur Chandragupt [Chanakya and Chandragupta],Rajender Pandya,Length: 6 hrs
Nightshade Revenge,Anthony Horowitz,Length: 8 hrs and 27 mins
What Do You Care What Other People Think?,"Richard P. Feynman,Ralph Leighton",Length: 6 hrs and 12 mins
"Think Faster, Talk Smarter",Matt Abrahams,Length: 7 hrs and 11 mins
The Rozabal Line (Hindi Edition),Ashwin Sanghi,Length: 12 hrs and 28 mins
Sahaj Yog,OSHO,Length: 37 hrs and 10 mins
Babylon Ka Sabse Ameer Aadami [The Richest Man in Babylon],George S. Clason,Length: 4 hrs and 46 mins
The Art of Thinking Clearly (Marathi Edition),Rolf Dobelli,Length: 14 hrs and 26 mins
Serpent Rising,Neven Paar,Length: 28 hrs and 40 mins
Kautilya Arthshastra (Hindi Edition),Chanakya,Length: 6 hrs
The Art of Influencing People,Virender Kapoor,Length: 38 mins
The Quick and Easy Way to Effective Speaking,Dale Carnegie,Length: 6 hrs and 39 mins
My Experiments with Truth,Mohandas K. Gandhi,Length: 19 hrs and 11 mins
"Master Your Time, Master Your Life",Brian Tracy,Length: 4 hrs and 2 mins
Panchatantra (Hindi Edition),Vishnu Sharma,Length: 5 hrs and 41 mins
You Are the Best Wife,Ajay K. Pandey,Length: 7 hrs and 29 mins
Ghost Stories: Stephen Fry's Definitive Collection,"Stephen Fry,Washington Irving,M.R. James,Amelia B. Edwards,Robert Louis Stevenson,Algernon Blackwood,Edgar Allan Poe,Charlotte Riddell,Bram Stoker",Length: 8 hrs and 18 mins
1991,Sanjaya Baru,Length: 5 hrs and 25 mins
The Power of Habit (Hindi Edition),Charles Duhigg,Length: 13 hrs and 23 mins
Meri Gita,Devdutt Pattanaik,Length: 7 hrs and 39 mins
7 Secrets of Shiva,Devdutt Pattanaik,Length: 4 hrs and 4 mins
Orwell Collection,George Orwell,Length: 16 hrs and 18 mins
10 Things That Never Happened,Alexis Hall,Length: 10 hrs and 9 mins
The Buddha Said,Osho,Length: 35 hrs and 57 mins
Mahabharat Katha [Mahabharata Story],Amritlal Nagar,Length: 10 hrs and 41 mins
21 Shreshth Kahaniyan Prem Chand (Hindi Edition),Munshi Premchand,Length: 7 hrs and 44 mins
Art of Seduction,Robert Greene,Length: 22 hrs and 51 mins
The 7 Principles of Public Speaking,Richard Zeoli,Length: 5 hrs
Level Up,Rob Dial,Length: 7 hrs and 42 mins
Complete Chanakya Neeti,R.P. Jain,Length: 4 hrs
Jeevan Jine Ki Kala,Anand Satyarthi,Length: 5 hrs and 14 mins
Garuda Puran,Dr. Vinay,Length: 6 hrs and 8 mins
Why I Am an Atheist and Other Works,Bhagat Singh,Length: 3 hrs
Think and Grow Rich,Napoleon Hill,Length: 9 hrs and 35 mins
The Blue Umbrella,Ruskin Bond,Length: 51 mins
Understanding the Mysteries of Human Behavior,"Mark Leary,The Great Courses",Length: 12 hrs and 11 mins
The Stand-In,Lily Chu,Length: 10 hrs and 55 mins
The Favor,Suzanne Wright,Length: 15 hrs and 23 mins
The Woman in Me (German edition),"Britney Spears,Karsten Petersen - Übersetzer,Karlheinz Dürr - Übersetzer,Astrid Gravert - Übersetzer,Sylvia Bieker - Übersetzer",Length: 6 hrs and 26 mins
The Dhammapada Vol. 3,Osho,Length: 18 hrs and 1 min
Kane & Abel (Hindi Edition),Jeffrey Archer,Length: 16 hrs and 58 mins
